name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Potatooffear,89042.51917436681,80839.6520738651,97802.49743942347,2331.9907073438667,22.64922771731413
1208/2523/raid-heroic/204211/0/trinket2/,93360.29761827513,81922.65516532215,107818.63822726325,3284.1317790238863,23.7799573247347
1208/2523/raid-heroic/204211/0/trinket1/,91927.40122493153,81446.83351759744,106105.1579553912,3182.12577563525,23.4163481687864
1208/2520/raid-heroic/203963/0/trinket2/,89795.59606591832,80874.07933325892,99535.00187807753,2448.6288429402734,22.831596426478544
1208/2520/raid-heroic/203963/0/trinket1/,88559.1791728053,79954.62544167096,100320.39844235424,2379.5688130541394,22.50390804896041
1208/2523/raid-heroic/204398/6556/finger1/,88384.71433025374,80762.17446250388,95398.37803618044,2375.4905055335585,82.6538856961853
1208/2523/raid-heroic/202544/6607/feet/,89556.9567944347,81403.45421729368,97933.22931939476,2350.6112579311825,22.749744801356908
1208/2520/raid-heroic/202537/6598/back/,89918.32690368364,82429.03806304914,99666.28097786287,2330.0499412537592,22.900928875218607
1208/2523/raid-heroic/204392/6607/feet/,89401.37983990839,81900.73426652375,98071.79367164006,2325.384815122867,22.769457218251983
1208/2520/raid-heroic/202541/6541/legs/,89919.11699495363,82132.38243589441,100709.95055457499,2350.3180760598134,22.82615388401884
1208/2520/raid-heroic/202585/6541/legs/,90124.40517835034,81965.90219352652,99494.79937120313,2299.95150499263,22.900115274803152
1208/2523/raid-heroic/202540/0/shoulder/,85670.74772945036,81479.81971665088,92534.71149180307,2265.3696623235332,276.7589529076968
1208/2527/raid-heroic/204397/0/neck/,88888.07313421095,81072.85030639284,99099.77030915514,2311.327507047536,22.575605646677747
1208/2530/raid-heroic/204318/0/off_hand/,89905.0351076108,80485.44933796788,98665.00680118956,2394.6559925054225,22.830073662755442
1208/2523/raid-heroic/204398/6556/finger2/,88249.53655135761,82270.88438348414,94584.99590134731,2242.2621429821975,86.17713472414302
1208/2532/raid-heroic/204393/6580/wrist/,87829.12402851407,79579.79914272345,93716.3493614525,2318.850858769206,84.00310350171316
1208/2520/raid-heroic/204465/6598/back/,90447.43135867977,81938.52920227525,100089.97699410659,2365.479268666455,22.96473584459333
1208/2530/raid-heroic/203729/0/trinket2/,89761.98004803249,81271.53507199342,98756.74588221732,2330.559392391899,22.847523504105396
1208/2522/raid-heroic/202612/0/trinket1/,88793.5423462773,80642.35046673584,98113.27944336928,2351.795908879635,22.557182773261566
1208/2527/raid-heroic/203996/0/trinket2/,92183.58107470398,84652.01821142598,101151.02344064617,2343.584238170718,23.466368515678727
1208/2532/raid-heroic/202545/6625/chest/,85817.52437121625,79883.22839592976,91897.51601281298,2216.2050843236652,270.7525437314407
1208/2527/raid-heroic/202542/0/head/,84494.48983797956,79345.50818671628,91023.29244397554,2410.2453006473993,296.68068768261844
1208/2523/raid-heroic/204324/0/off_hand/,90384.11004013792,82153.40009631691,99832.92488677758,2374.7313618762905,23.001505192447585
1208/2532/raid-heroic/202538/6580/wrist/,87953.49400870701,81780.89421025917,94879.24151951633,2200.2146607758914,84.87512319835693
1208/2522/raid-heroic/202612/0/trinket2/,90043.37129642646,81303.24036827372,99459.29626718318,2375.3707904929347,22.91650647091807
1208/2532/raid-heroic/202555/6643/main_hand/,90408.84474357356,81399.84987500975,99259.19232392317,2361.6015289299476,23.004188576067907
1208/2527/raid-heroic/203996/0/trinket1/,90877.55360478094,83068.71157048938,100472.34088805802,2322.1237802885867,23.11515154553874
1208/2520/raid-heroic/202565/6643/main_hand/,91994.70894601154,83225.53569512148,103531.27415742997,2375.758315401765,23.41017870410259
1208/2525/raid-heroic/204319/6643/main_hand/,90189.42311668799,81715.63576883248,99743.39816112276,2344.2213063883096,22.907821590943254
1208/2532/raid-heroic/204467/6598/back/,89447.45971737707,81523.50739976928,100877.5108795679,2312.5640858256297,22.709334040440755
1208/2527/raid-heroic/202570/6643/main_hand/,90600.73282079186,83052.97543391123,99432.2249626989,2327.791992462516,23.01587978923764
1208/2532/raid-heroic/202537/6598/back/,89578.59436082022,81651.78150802686,98269.06753919905,2321.136243533056,22.74530926648553
1208/2530/raid-heroic/202543/0/hands/,84841.39479580362,77981.64755324168,89594.30185138057,2249.668608100406,274.8407638374492
1208/2525/raid-heroic/202541/6541/legs/,89395.74112261982,81358.92749821654,98471.52066897872,2351.3625605506636,22.674336254096282
1208/2530/raid-heroic/202539/0/waist/,88995.67114514149,80286.48964040527,99139.10151124309,2328.1523515857843,22.606617450947596
1208/2525/raid-heroic/204466/6556/finger2/,88097.11773619884,81158.92347825562,97863.55230655555,2372.297688746133,86.10895084170758
1208/2522/raid-heroic/202600/6625/chest/,85573.37485157912,81256.32439819114,90238.80633928801,2159.7984568576057,265.8528122694647
1208/2522/raid-heroic/202537/6598/back/,89408.72490127917,81248.61079659376,97912.74868533152,2331.4936849037113,22.75304857176576
1208/2525/raid-heroic/202544/6607/feet/,89229.66326408208,80778.80584233577,98700.16478257718,2341.237972954766,22.66115076473695
1208/2529/raid-heroic/202615/0/trinket2/,90712.00388591098,82131.00164123756,99808.37832414459,2332.159787479585,23.05793899649452
1208/2529/raid-heroic/202615/0/trinket1/,89552.62676951665,81212.77706467132,98582.49324241593,2253.4036827592176,22.7303658503859
1208/2525/raid-heroic/204466/6556/finger1/,88028.72703155584,81792.98730755526,96426.30083373097,2327.5280569174547,85.27403009735272
1208/2529/raid-heroic/202572/6556/finger1/,88836.0423980754,81030.32194738812,97627.14202563532,2333.1890830979246,22.598069156355695
1208/2524/raid-heroic/202580/0/shoulder/,85287.83631359159,81230.96340087384,90154.86004416733,2101.2260294146563,256.705616480594
1208/2524/raid-heroic/202618/0/neck/,87920.86106417961,81172.91234580197,96203.93608126913,2315.379829395061,85.11505531361573
1208/-49/raid-heroic/204411/0/shoulder/,85280.06707533586,80160.78434583933,92577.02517325769,2281.489787978571,280.831979656404
1208/2529/raid-heroic/202542/0/head/,84638.08110297516,79763.88670131037,90796.71797384972,2271.356183272364,279.5846191441218
1208/-49/raid-heroic/202540/0/shoulder/,84988.08375842159,80756.8355232181,89279.60152309855,1765.6865774755447,217.34099342365988
1208/2524/raid-heroic/202540/0/shoulder/,85364.01576699974,80521.71210207023,90483.68694155835,2105.1229790207017,255.28365874756656
1208/-49/raid-heroic/202538/6580/wrist/,87642.73265658325,81408.421507103,96764.45582444024,2262.8902204452593,86.08440099812046
1208/2522/raid-heroic/202545/6625/chest/,85138.185297467,81143.00634853155,89745.14683773031,1892.1398397106561,232.9063140113803
