name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Potatooffear,88996.10162423944,81008.94179253808,99466.38709996965,2313.860955695469,22.654447167094975
1208/2523/raid-mythic/204324/0/off_hand/,91541.53902876402,82705.163228765,101123.57914901807,2390.103629539381,23.28735020773867
1208/2520/raid-mythic/203963/0/trinket1/,89461.70387128038,80539.17223191465,99860.32925462855,2448.0302011462213,22.767695307923933
1208/2523/raid-mythic/204398/6556/finger1/,88862.14735995531,80978.1564450877,97704.83396028122,2355.7605082164127,22.603528410411116
1208/2520/raid-mythic/203963/0/trinket2/,90713.30670540781,82479.25539878581,101314.81403345072,2522.909501006491,23.080970467302482
1208/2523/raid-mythic/202544/6607/feet/,90191.12233186302,81738.130231384,99787.85169879923,2369.116738134406,22.944969747303688
1208/2523/raid-mythic/204392/6607/feet/,90065.41522839223,80817.03553964256,100151.80060953062,2366.586971828053,22.90865337547636
1208/2523/raid-mythic/202540/0/shoulder/,86141.1192529259,80713.13960269673,92076.70622409965,2087.3700535676353,255.01283961034906
1208/2527/raid-mythic/204397/0/neck/,89425.15973105232,81101.06391627151,98733.88144267235,2364.089175521145,22.761107271988415
1208/2523/raid-mythic/204398/6556/finger2/,88846.9128226469,80099.1158646766,97995.18596350183,2357.8322435048813,22.60988063639081
1208/2527/raid-mythic/202542/0/head/,85297.88412943446,80237.546378522,91582.9404831026,2344.679552072628,288.6101019333738
1208/2530/raid-mythic/204318/0/off_hand/,90929.03600822488,83146.0768220994,100620.78309270169,2353.974839952336,23.064886989124933
1208/2520/raid-mythic/202537/6598/back/,90494.11144565752,82205.26241658248,99432.60617241515,2364.229309015078,23.015594940453568
1208/2532/raid-mythic/204393/6580/wrist/,88449.3112785666,81441.95806925673,96542.44962029145,2207.5518343397907,84.78051744125037
1208/2520/raid-mythic/202565/6643/main_hand/,95130.56671954815,85458.74742818408,105749.81674295242,2471.071891336364,24.21688619623033
1208/2530/raid-mythic/203729/0/trinket2/,90530.5109983048,82798.89294851843,98918.6347179895,2332.9906931476894,22.98987249124905
1208/2520/raid-mythic/204465/6598/back/,91067.04010280699,82362.587404437,101009.239694702,2352.5519232651377,23.204049566854717
1208/2523/raid-mythic/204211/0/trinket2/,94534.66727212576,82374.06247699131,110341.44727013852,3504.7294467051684,24.054134166752803
1208/2532/raid-mythic/202555/6643/main_hand/,92421.08113112279,83088.04063571649,102354.63492482915,2409.3886254882245,23.475248526817868
1208/2522/raid-mythic/202612/0/trinket1/,89521.49194554993,78674.48667243995,98681.87030812782,2360.3641177373343,22.77278867344871
