name,dps_mean,dps_min,dps_max,dps_std_dev,dps_mean_std_dev
Ledzeppelink,32485.185217203452,26804.833588460722,41103.199851875324,1605.379469625227,8.278672123206436
1208/2520/raid-mythic/202465/6204/back/,34901.63795704822,28992.82744985349,42548.03687860963,1740.1438896574998,8.898460199417624
1208/2523/raid-mythic/204202/0/trinket2/,35786.12801444888,28435.765123808753,44146.61445172727,1929.5963939298506,9.123514680184313
1208/2520/raid-mythic/203963/0/trinket2/,37867.814155932545,30928.88738707254,47036.25425103073,2047.5944932371958,9.655672102560988
1208/2523/raid-mythic/204398/6170/finger2/,34143.44237991731,27598.301801241723,41767.86151878392,1739.347247057467,8.707191141368916
1208/2523/raid-mythic/204398/6170/finger1/,33989.67237605882,27946.571958499968,42578.2420048737,1735.1667841185829,8.663173281002052
1208/2520/raid-mythic/202472/0/feet/,35230.67755879285,29199.178362843195,43137.80159975558,1737.5632678193406,8.98076453537581
1208/2523/raid-mythic/204202/0/trinket1/,35664.55941469983,28348.785922596024,46045.95158264497,1956.1126913828055,9.094559501376507
1208/2520/raid-mythic/204424/0/feet/,35303.168841524646,28620.044986953442,43156.64438142795,1739.0592546686562,8.999201221409159
1208/2520/raid-mythic/202469/0/legs/,34808.156987393966,28693.150939852047,42362.17718619175,1706.363878093947,8.866531232443672
1208/2520/raid-mythic/204465/6204/back/,35130.96505766149,29200.203511921827,42486.99154482136,1745.880125241371,8.956293915914712
1208/2523/raid-mythic/202558/0/off_hand/,37894.33759007825,31035.895203686247,46464.327436367086,1864.2900620814994,9.65176368704986
1208/2520/raid-mythic/202584/0/legs/,34509.757020937104,28575.08409047578,42175.33906395987,1691.7953758628325,8.769193417389472
1208/2523/raid-mythic/202468/0/shoulder/,33753.29879557319,27345.80151993998,41064.819239305434,1682.4524171386277,8.595808160433428
1208/2532/raid-mythic/202465/6204/back/,34659.15428907849,28526.560299902867,42783.6618260984,1709.042501348612,8.834296245394649
1208/2527/raid-mythic/202570/6229/main_hand/,41482.8145970274,33993.39558362688,51487.68865310871,2064.9385043834905,10.555063972213357
1208/2527/raid-mythic/203996/0/trinket2/,38895.89986770134,32540.77788663859,47765.786300731765,1845.4352268324103,9.909957348082253
