,0,1,2,3,4,5,6,7,8,9,10
id,203963,202565,204465,202564,204399,204390,202599,204424,202584,202585,202587
name,Beacon to the Beyond,"Erethos, the Empty Promise",Voice of the Silent Star,Fang of the Sundered Flame,Oblivion's Immortal Coil,Bonds of Desperate Ascension,Sarkareth's Abyssal Embrace,Crechebound Soldier's Boots,Scalecommander's Ebon Schynbalds,Coattails of the Rightful Heir,Oathbreaker's Obsessive Gauntlets
Potatooflock,2373,6084,1508,0,0,0,0,0,0,2218,0
Potatooffear,0,2952,1405,0,0,0,0,0,0,1082,0
Potatoófdoom,4597,0,2373,0,0,1346,2189,0,0,0,0
Ledzeppelink,5207,14810,2646,0,0,0,0,2818,2025,0,0
