,0,1,2,3,4,5,6,7,8,9,10
id,202615,202617,202572,202579,202563,202568,202595,202598,202596,202605,202593
name,Vessel of Searing Shadow,Elementium Pocket Anvil,Entropic Convergence Loop,Attendant's Concocting Cover,Obsidian Stirring Staff,Scholar's Thinking Cudgel,Shoulderplates of Planar Isolation,Cuirass of Meticulous Mixture,Tassets of Blistering Twilight,Gloomfused Chemistry Belt,Unstable Vial Handlers
Potatooflock,2705,0,122,1069,0,0,0,0,0,0,722
Potatooffear,510,0,0,0,0,0,0,0,0,0,0
Potatoófdoom,0,2379,315,0,0,1830,1666,0,0,0,0
Ledzeppelink,5353,0,1948,0,0,0,0,1774,0,1357,0
