,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
id,202569,202614,204466,204319,202592,202655,202659,202603,202460,202523,202514,202487,202478,202550,202505,202451,202541,202496,202469,202532,202442
name,"Djaruun, Pillar of the Elder Flame",Rashok's Molten Heart,Tormentor's Siphoning Signet,Bloodfire Extraction Conduit,Unyielding Goliath's Burgonet,Elder's Volcanic Binding,Shackles of the Shadowed Bastille,Sandals of Ancient Fury,DK Legs,DH Legs,Druid Legs,Evoker Legs,Huntards Legs,Mage Legs,Monk Legs,Paladin Legs,Priest Legs,Rogue Legs,Shaman Legs,Warlock Legs,Warrior Legs
Potatooflock,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,1833,0
Potatooffear,0,0,0,1147,0,0,0,14,0,0,0,0,0,0,0,0,353,0,0,0,0
Potatoófdoom,0,0,0,0,452,0,0,0,1487,0,0,0,0,0,0,0,0,0,0,0,0
Ledzeppelink,0,0,1486,8673,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,1937,0,0
