,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
id,202569,202614,204466,204319,202592,202655,202659,202603,202460,202523,202514,202487,202478,202550,202505,202451,202541,202496,202469,202532,202442
name,"Djaruun, Pillar of the Elder Flame",Rashok's Molten Heart,Tormentor's Siphoning Signet,Bloodfire Extraction Conduit,Unyielding Goliath's Burgonet,Elder's Volcanic Binding,Shackles of the Shadowed Bastille,Sandals of Ancient Fury,DK Legs,DH Legs,Druid Legs,Evoker Legs,Huntards Legs,Mage Legs,Monk Legs,Paladin Legs,Priest Legs,Rogue Legs,Shaman Legs,Warlock Legs,Warrior Legs
Potatooffear,0,0,0,3082,0,0,0,656,0,0,0,0,0,0,0,0,1206,0,0,0,0
Ledzeppelink,0,0,1486,8673,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,1937,0,0
Potatooflock,0,0,228,0,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,2468,0
Potatoófdoom,0,0,384,0,1064,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0
Alurush,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,0
