,0,1,2,3,4,5,6,7,8,9,10
id,202615,202617,202572,202579,202563,202568,202595,202598,202596,202605,202593
name,Vessel of Searing Shadow,Elementium Pocket Anvil,Entropic Convergence Loop,Attendant's Concocting Cover,Obsidian Stirring Staff,Scholar's Thinking Cudgel,Shoulderplates of Planar Isolation,Cuirass of Meticulous Mixture,Tassets of Blistering Twilight,Gloomfused Chemistry Belt,Unstable Vial Handlers
Potatooffear,1536,0,339,0,0,0,0,0,0,0,0
Ledzeppelink,5353,0,1948,0,0,0,0,1774,0,1357,0
Potatooflock,3461,0,396,1675,0,0,0,0,0,0,1063
Potatoófdoom,0,4299,684,0,0,2821,2133,0,0,0,0
Alurush,0,1424,0,0,0,0,0,0,1173,0,0
